identifiant,nom_etablissement,numero_siret,adresse,code_postal,commune,departement,region,coordonnees_x,coordonnees_y,code_epsg,code_ape,libelle_ape,libelle_eprtr,prelevements_eaux_souterraines,prelevements_eaux_surface,prelevements_reseau_distribution,somme_prelevements_(m3),Somme_de_rejet_raccorde_m3_par_an,Somme_de_rejet_isole_m3_par_an,Somme_des_rejets_(m3)
6303376,REINAL,44857126500025,835 AVENUE DES CHENES PARC ACT VENDEE ATLANT II,85210,SAINT-AUBIN-LA-PLAINE,VENDEE,PAYS-DE-LA-LOIRE,-1.062440,46.524030,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,,  18 106 ,  18 106 
5401040,BAUDOIN-THILLIEN,32881432200025,11 RUE COLONEL ROZANOFF ZA DES PIEDS DE RATS,89000,AUXERRE,YONNE,BOURGOGNE-FRANCHE-COMTE,3.575360,47.815780,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,  100 ,  17 742 ,  17 842 
5501549,SOCIETE FOUGERAISE DE PEINTURE INDUSTRIELLE,32778515000019,7 RUE HENRI BECQUEREL ZI DE L AUMAILLERIE,35133,LA SELLE-EN-LUITRE,ILLE-ET-VILAINE,BRETAGNE,-1.177360,48.337850,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,,  17 648 ,  17 648 
6103294,TECHNIQUES SURFACES ANDREZIEUX,45189235000021,RUE BARTHELEMY THIMONNIER,42160,ANDREZIEUX-BOUTHEON,LOIRE,AUVERGNE-RHONE-ALPES,4.273770,45.521240,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,,  16 800 ,  16 800 
5102141,GALVAMETAL SA,32355314900010,20 RUE CHARLES DE GAULLE,80570,EMBREVILLE,SOMME,HAUTS-DE-FRANCE,1.541950,50.028680,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,,  16 646 ,  16 646 
5200869,L ELECTROLYSE,46020064500022,Z I DE MAUCOULET ZONE INDUSTRIELLE,33360,LATRESNE,GIRONDE,NOUVELLE-AQUITAINE,-0.498870,44.783820,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,  18 742 ,,,  18 742 ,,  16 573 ,  16 573 
5201011,L ELECTROLYSE,46020064500030,10 RUE BERNARD PALISSY ZI DU PHARE,33700,MERIGNAC,GIRONDE,NOUVELLE-AQUITAINE,-0.675700,44.852450,27572,2561Z,Traitement et revêtement des métaux,,,,,,,  16 573 ,  16 573 
6103907,ETIENNE BRUN SAS,96050032000010,70 AVENUE ROGER SALENGRO,69100,VILLEURBANNE,RHONE,AUVERGNE-RHONE-ALPES,4.875240,45.776580,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,  15 639 ,,  15 639 
5401404,REVETEMENT ELECTROLYTIQUE DES METAUX,34895538600019,2 RUE DE LA BREUCHILLIERE ZI ST APOLLINAIRE DIJON,21000,DIJON,COTE-D'OR,BOURGOGNE-FRANCHE-COMTE,5.073480,47.343730,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,  14 890 ,,  14 890 
5901096,SILAC,44509362800011,ROUTE DE COMBEAUFONTAINE ZI,70600,CHAMPLITTE,HAUTE-SAONE,BOURGOGNE-FRANCHE-COMTE,5.559720,47.677520,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,  980 ,  13 053 ,  14 033 
