identifiant,nom_etablissement,numero_siret,adresse,code_postal,commune,departement,region,coordonnees_x,coordonnees_y,code_epsg,code_ape,libelle_ape,libelle_eprtr,prelevements_eaux_souterraines,prelevements_eaux_surface,prelevements_reseau_distribution,somme_prelevements_(m3),Somme_de_rejet_raccorde_m3_par_an,Somme_de_rejet_isole_m3_par_an,Somme_des_rejets_(m3)
5400956,CARRIERES & MATERIAUX NORD-EST,42118530700145,72 RUE D'AVALLON,89420,SAINTE-MAGNANCE,YONNE,BOURGOGNE-FRANCHE-COMTE,4.071890,47.443390,4326,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",Extraction à  ciel ouvert et exploitation en carrière lorsque la surperficie du site oà¹ sont effectuées des opérations d'extraction est égale à  25 hectares,,,,,,  553 270 ,  553 270 
5901509,CARRIERES & MATERIAUX NORD-EST,42118530700079,Lieu-dit Mauprophte,25320,CHEMAUDIN,DOUBS,BOURGOGNE-FRANCHE-COMTE,5.891460,47.209000,4326,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,,,,,,  553 270 ,  553 270 
5901523,CARRIERES & MATERIAUX NORD-EST,42118530700079,102  Route de Besanon Lieu-dit Les Grands Prs,25290,EPEUGNEY,DOUBS,BOURGOGNE-FRANCHE-COMTE,6.015250,47.154630,4326,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,,,,,,  553 270 ,  553 270 
5901588,CARRIERES & MATERIAUX NORD-EST,42118530700079,RD6 Lieu-dit en Epine,25520,SOMBACOUR,DOUBS,BOURGOGNE-FRANCHE-COMTE,6.232170,46.969980,4326,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,,,,,,  553 270 ,  553 270 
5901599,CARRIERES & MATERIAUX NORD-EST,42118530700079,RD114 Lieu-dit Les Mondrevaux,25110,VERGRANNE,DOUBS,BOURGOGNE-FRANCHE-COMTE,6.379910,47.402670,4326,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,,,,,,  553 270 ,  553 270 
5901771,CARRIERES & MATERIAUX NORD-EST,42118530700079,RD33 Lieux-dits Les Rondes et Mourey,70190,BOULT,HAUTE-SAONE,BOURGOGNE-FRANCHE-COMTE,6.008210,47.373890,4326,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,,,,,,  553 270 ,  553 270 
5901866,CARRIERES & MATERIAUX NORD-EST,42118530700079,Lieu-dit Friche de Pipette,70150,PIN,HAUTE-SAONE,BOURGOGNE-FRANCHE-COMTE,5.858840,47.339900,4326,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,,,,,,  553 270 ,  553 270 
5901919,CARRIERES & MATERIAUX NORD-EST,42118530700038,ROUTE DE ST NICOLAS,90110,ROUGEMONT-LE-CHATEAU,TERRITOIRE-DE-BELFORT,BOURGOGNE-FRANCHE-COMTE,6.949990,47.743020,4326,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,,,,,,  553 270 ,  553 270 
6202416,CARRIERES & MATERIAUX NORD-EST,42118530700061,RUE DE LA TROUCHE,88110,RAON-L'ETAPE,VOSGES,GRAND-EST,6.871320,48.407170,4326,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",Extraction à  ciel ouvert et exploitation en carrière lorsque la surperficie du site oà¹ sont effectuées des opérations d'extraction est égale à  25 hectares,,,,,,  553 270 ,  553 270 
6300713,CARRIERES TAVANO,39328954100012,LA COYERE - L'ENFOURNOIRE,72700,SPAY,SARTHE,PAYS-DE-LA-LOIRE,0.174200,47.927450,2154,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,,  425 860 ,,  425 860 ,  65 ,  425 860 ,  425 925 
5800454,CARRIERES ET BALLASTIERES DE NORMANDIE,34885943000053,203  Rue Christine,76530,YVILLE-SUR-SEINE,SEINE-MARITIME,NORMANDIE,0.885880,49.420470,4326,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",Extraction à  ciel ouvert et exploitation en carrière lorsque la surperficie du site oà¹ sont effectuées des opérations d'extraction est égale à  25 hectares,,  270 410 ,,  270 410 ,,  356 410 ,  356 410 
5801582,CARRIERES ET BALLASTIERES DE NORMANDIE,34885943000046,RUE BOUCHER DE PERTHES,76410,TOURVILLE-LA-RIVIERE,SEINE-MARITIME,NORMANDIE,1.075560,49.316180,2154,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,  86 000 ,,,  86 000 ,,  356 410 ,  356 410 
5800033,CARRIERES ET BALLASTIERES DE NORMANDIE,34885943000079,"ZI Bosc hetrel lieu dit ""La brche au Loup""",27340,CRIQUEBEUF-SUR-SEINE,EURE,NORMANDIE,1.105210,49.286790,4326,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",Extraction à  ciel ouvert et exploitation en carrière lorsque la surperficie du site oà¹ sont effectuées des opérations d'extraction est égale à  25 hectares,,,,,,  356 410 ,  356 410 
6700297,GRAVIERE DE NIEDERHERGHEIM,41211261700011,LIEU-DIT GROSSER PLON,68127,NIEDERHERGHEIM,HAUT-RHIN,GRAND-EST,7.450190,47.979220,2154,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,  348 811 ,,,  348 811 ,,  348 811 ,  348 811 
5502480,LE ROUX TP ET CARRIERES,37648054700037,MOULIN FONTAYOU,29710,GOURLIZON,FINISTERE,BRETAGNE,-4.253240,48.018360,27572,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,,,,,,  312 418 ,  312 418 
